ddmmyyyy,score,regime,source,provider
10052026,32,Phân phối / Rủi ro cao / Pre-Crash,auto,deepseek-v4-pro
11052026,35,Phân phối / Rủi ro cao / Pre-Crash,auto,deepseek-v4-pro
12052026,42,Trung tính / Sideway biên độ hẹp,auto,deepseek-v4-pro
13052026,32,Rủi ro cao / Pre-Crash,auto,deepseek-v4-pro
14052026,35,Rủi ro cao / Pre-Crash,auto,deepseek-v4-pro
15052026,30,Rủi ro cao / Pre-Crash,auto,deepseek-v4-pro
17052026,22,DISTRIBUTION / PRE-CRASH,auto,deepseek-v4-pro
19052026,18,DISTRIBUTION / PRE-CRASH,auto,deepseek-v4-pro
20052026,16,DISTRIBUTION / PRE-CRASH,auto,deepseek-v4-pro
21052026,14,DISTRIBUTION / PRE-CRASH,auto,deepseek-v4-pro
22052026,12,DISTRIBUTION / PRE-CRASH,auto,deepseek-v4-pro
25052026,10,DISTRIBUTION / PRE-CRASH,auto,deepseek-v4-pro
26052026,12,DISTRIBUTION / PRE-CRASH,auto,deepseek-v4-pro
27052026,14,DISTRIBUTION / PRE-CRASH,auto,deepseek-v4-pro
28052026,18,DISTRIBUTION / PRE-CRASH,auto,deepseek-v4-pro
29052026,14,DISTRIBUTION / PRE-CRASH,auto,deepseek-v4-pro
31052026,12,CRISIS / PRE-CRASH,manual,deepseek-v4-pro
01062026,11,CRISIS / PRE-CRASH,auto,deepseek-v4-pro
02062026,11,CRISIS / PRE-CRASH,auto,deepseek-v4-pro
03062026,11,CRISIS / PRE-CRASH,auto,deepseek-v4-pro
04062026,11,CRISIS / PRE-CRASH,auto,deepseek-v4-pro
05062026,11,CRISIS / PRE-CRASH,auto,deepseek-v4-pro
08062026,11,CRISIS / PRE-CRASH,auto,deepseek-v4-pro
09062026,11,CRISIS / PRE-CRASH,auto,deepseek-v4-pro
10062026,11,CRISIS / PRE-CRASH,auto,deepseek-v4-pro
11062026,11,CRISIS / PRE-CRASH,auto,deepseek-v4-pro
12062026,11,CRISIS / PRE-CRASH,auto,deepseek-v4-pro
14062026,11,CRISIS/PRE-CRASH,manual,deepseek-v4-pro
15062026,11,CRISIS/PRE-CRASH,auto,deepseek-v4-pro
16062026,11,CRISIS / PRE-CRASH,auto,deepseek-v4-pro
17062026,11,CRISIS / PRE-CRASH,auto,deepseek-v4-pro
18062026,13,CRISIS / PRE-CRASH,auto,deepseek-v4-pro
20062026,24,PRE-CRASH / PANIC,manual,deepseek-v4-pro
21062026,24,PRE-CRASH / PANIC,manual,deepseek-v4-pro
22062026,27,PRE-CRASH / PANIC,auto,deepseek-v4-pro
23062026,20,PRE-CRASH / PANIC,auto,deepseek-v4-pro
24062026,28,PRE-CRASH / PANIC,manual,deepseek-v4-pro
